,US Customer Name,US Review title,US Ratings,Reviews
329,Lauriel Galan,Beautiful well-designed water bottle,5.0 out of 5 stars,"  It's a great water bottle. Very slim and tall it looks very ""high tech"" I always get compliments on it, i'm very happy with the purchase"
330,LUIS,KOR ONE,4.0 out of 5 stars,  Take your body hydration to the next level.  This is a good looking vessel for going out and keep aprofessional.
331,José Luis Vede,Four Stars,4.0 out of 5 stars,  excelent
332,Mohamed D. Alsadah,Leaking at the bottom,1.0 out of 5 stars,"  It is leaking at the bottom! I just received it and as soon as I fill it with water, it starts to leak from the rubber ring at the bottom."
333,Amazon Customer,Water from the future,5.0 out of 5 stars,  Innovative and sleak design. Like drinking from a fine sculpture. Very happy with it
334,Keji yuan,Can not open it!,1.0 out of 5 stars,  It is so hard to open it!
335,Y. Chan,Love the design,4.0 out of 5 stars,  Love the design. There are a few sharp edges and the top rubber part feels a bit loose but it's still well designed which is the reason I wanted to purchase it in the first place
336,Joe Kur,Fragile Beauty,4.0 out of 5 stars,"  As shown in Iron Man II. It looks great, but not very durable.I read many reviews saying that it breaks easily, so I was careful with it.It lasted a fair amount of time...alas, it fell. :("
337,Khalifa alhabtoor,A,5.0 out of 5 stars,  Amazing. Easy to carry.
338,Alejandra Garcia,Five Stars,5.0 out of 5 stars,  I love it!!
339,Wormaholic,Four Stars,4.0 out of 5 stars,  My buddy who I gave this to for Christmas LOVES it.  He carries it everywhere!
340,H,Sexy in a bottle.,4.0 out of 5 stars,  Great bottle. I have received so many compliments! Love it! My only gripe...I wish the bottle came in smaller sizes.
341,PokeAsh,Five Stars,5.0 out of 5 stars,  I love how comfortable it is to drink from the bottle.
342,.,Two Stars,2.0 out of 5 stars,  Hinge design is horrible and will break easily.
343,Peter_M,5 Score for the KOR,5.0 out of 5 stars,"  Great water bottle. Worth every penny. Good size, sturdy construction, and the spout makes you not want to drink from any other bottle"
344,Erik M von Hurst IV,Was so nice until tradgey struck!,4.0 out of 5 stars,"  Well, when I received my vessel, I was very happ and excited to try it out. Filled it up, got a couple sips out if it. Then after closing the lid after my final sip, one of the hinges broke. Now when it closes it would be partially open on one side. Other than that, it's awesome. Very cool looking bottle. But I sent it back, I think I'll try the DELTA vessels instead, they have a different locking mechanism."
345,Eck,Five Stars,5.0 out of 5 stars,"  Not just for Tony Stark anymore. "".....I am Iron man""."
346,SHUHUI GUAN,Three Stars,3.0 out of 5 stars,"  I bought a lot for my family, but something was lost on the top of one bottle!"
347,Oscar Guardia,Five Stars,5.0 out of 5 stars,  cool!
348,Carlos,Very disappointed!,1.0 out of 5 stars,  Arrived with fingerprints and looked used. Then when i put water in it was leaking thru the top! Very disappointed!
349,Rye-Bread,Pretty good.,4.0 out of 5 stars,"  Pretty good water bottle. It feels sturdy, but some of the plastic components makes me question its longevity."
350,LittleDealsBigDeals,Five Stars,5.0 out of 5 stars,  great water bottle.  Looks great too.
351,SA.Tx,Five Stars,5.0 out of 5 stars,"  Quick, simple & easy"
352,B - MN,Works great...,5.0 out of 5 stars,"  It's exactly as advertised.  It works, it looks great, holds a good amount of water, easy to fill and drink from, ice cube go in without issue.  Sturdy construction, ""feels"" quality.  If looking for a new reusable water bottle, this is it."
353,Erik Reinertsen,Five Stars,5.0 out of 5 stars,  from the future
354,Renee,Durable,4.0 out of 5 stars,"  Cute, durable, doesn't leak, comfortable to hold. Only complaint would be the spout that you drink from could be better. Overall pleased and would buy again."
355,meena menon,Five Stars,5.0 out of 5 stars,  This made something really hard a little easier.
356,Momojojo,Nice design but not functional,2.0 out of 5 stars,"  PRO:1. Great looking bottle2. Portion of the sales is donated for good causeCONS:1. It leaks. The cap doesn't seal the opening completely. You need to keep this bottle upright all the time or else it will leak.2. Very small opening, about 1.5 inch diameter. Not sure how you can fit regular sized ice cubes through it. Also will make is impossible to clean without special brushes."
357,OSP,Best ever! It is such a great product that ...,5.0 out of 5 stars,  Best ever! It is such a great product that I pretty much use it everyday. I drink so much more water with this bottle.
358,xhc,Three Stars,3.0 out of 5 stars,"  I dropped it twice, it started to leak."
359,Shopping Aficionado ,Five Stars,5.0 out of 5 stars,  Very lovely sleek looking
360,John,Great water bottle but mine unit lid was squeaky and ...,2.0 out of 5 stars,  Great water bottle but mine unit lid was squeaky and the cap covering the Kor stone is loose and keeps falling out
361,Helen,Low quality not worth the price,1.0 out of 5 stars,"  I liked the color and how it looked at first. However, I quickly noticed its low-quality material, larger-than-expected size, and difficultly to clean (Unless you have a scrub with a handle)."
362,T. Phoenix,Great bottle,5.0 out of 5 stars,"  Purchased this bottle for my Mom as a gift. I haven't seen it yet, but she's been raving about it, and uses it every day."
363,Amazon Customer,Five Stars,5.0 out of 5 stars,  No spills or leaks keeps liquids cool! Great product! And I love the design
364,Kelly,"Great bottle, but the lid can be kinda funny ...",4.0 out of 5 stars,"  Great bottle, but the lid can be kinda funny to click back on sometimes. But like it other than that."
365,Amazon Customer,Squeakiest hinge,1.0 out of 5 stars,  Hinge loudly squeaks. Incredibly disappointing for a $30 water bottle. I wanted it to replace my CamelBak--can't even open it in a meeting without getting comments.
366,allen armstrong,Five Stars,5.0 out of 5 stars,  Very nice.
367,Yomuck,Five Stars,5.0 out of 5 stars,  Wonderful to look at and still leak free.
368,YT,Great water bottle,5.0 out of 5 stars,"  Gave one as a gift, kept one.  They work great, no leaks whatsoever even when fully inverted.  The Iron Man 2 tie-in is just a bonus, really.  Honest. . . ."
369,LonMorMan,Five Stars,5.0 out of 5 stars,  Great looking bottle
370,Sunny Mei,Three Stars,3.0 out of 5 stars,  The cap is loose
371,Kyle,"Very disappointing for a ""hydration vessel'. Squeaky, non ...",2.0 out of 5 stars,"  Very disappointing for a ""hydration vessel'. Squeaky, non one handed operation lid and came in the mail already worn and scratched on the outside."
372,Ning,Kor bottle,5.0 out of 5 stars,  Order came as per describe and I love it's color! Good for everyday use! Delivery was faster than original date... Will definitely come back for more orders.
373,Roberto S Cantanhede,Beatiful and soft,3.0 out of 5 stars,"  Though ecologicaly correct, nice sensation on mouth, very beautiful and has a good closing mechanism, it is not very resistent. It will not resist if it falls on ground open, risks breaking its neck. I miss it. I'll think twice before buying a replacement unit."
374,Amazon Customer,Quality of life,5.0 out of 5 stars,  Nice design and fast delivery
375,MarkB312,Stop glaring at my bottle! Its hot I know.,5.0 out of 5 stars,"  I always catch people looking at it when Im at the gym like they have never seen it, and anyone who has seen Iron Man 2 has seen this bottle since Tony Stark drinks his green goop from it."
376,Rob Bejusca,Beautiful >Functional,4.0 out of 5 stars,"  What this water bottle lacks in function, it excels in beauty. The design does not allow a comfortable drinking experience. No matter how you hold the bottle the cap is always involved. That is my only complaint.Thanks for reading!"
377,Amazon Customer,This bottle is absolutely great. I like everything about it,5.0 out of 5 stars,  This bottle is absolutely great. I like everything about it. My only wish is that it comes in a larger size.
378,Ian,Four Stars,4.0 out of 5 stars,  I love the design and I love that I always get questioned about it!
379,changzhenyu,Five Stars,5.0 out of 5 stars,  Very nice I like
380,Mannino MD,Disappointed,1.0 out of 5 stars,  The design of this water bottle is cool however within 3 months the product broke.  It was knocked off my desk at work and the lid cracked and will no longer seal.  For a 30$ water bottle this item is totally not worth it.  Save your money!
381,khazihopkins,kor one bottle,4.0 out of 5 stars,  it can break easily if it falls.  the hinge is weak.  I don't have mine now.  It truly was a conversation piece
382,heidi lee,Three Stars,3.0 out of 5 stars,"  I love this water bottle, but I never received the stones that were supposed to be included."
383,Amazon Customer,Two Stars,2.0 out of 5 stars,  Tops a bit tricky
384,Jean-Paul Rose,This bottle was said to be premium but it was ...,2.0 out of 5 stars,  This bottle was said to be premium but it was obvious that it was a bottle spray painted silver. They didn't even remove the obvious signs of the bottle mold on the sprout and on the inside. Advertising doesn't live up to the deliverable.
385,CK,"Nice looking, but Fragile",3.0 out of 5 stars,"  This is a really nice looking water bottle.I take it to the gym all the time, just handle it with care.Pros:- design is very nice to look at- relatively easy to clean, i just use warm water/dish soap and a little brush to clean the inside- it's clear. being able to see the water is important to me.Cons:- scuff marks. it's not too bad, barely visible. these came from placing it in the water bottle holder on the treadmill and vibrations from it caused the bottle to bounce around slightly causing the marks.- poor balance. because the shape is oval, tall, and skinny, you cant carelessly put it down and expect it to keep standing, especially on those soft exercise mats.- dont ever drop it! because it will break! my lid broke partially after it fell from about 2 feet in the air. one of the little plastic wedges inside the lid snapped off so the lid only closes on one side and now it leaks. i still use the bottle however since i can close it and still hold it by the handles. i just cant put it in my gym bag while there's water inside the bottle."
386,khanh doan,Five Stars,5.0 out of 5 stars,  it's over the top but I love it
387,D. Cunningham,Looks very fancy,3.0 out of 5 stars,  It looks pretty but the seal at the top can be loosened easily causing water to spill if it's not held upright. The price was high when I bought it.
388,Amazon Customer,Four Stars,4.0 out of 5 stars,"  Nice-looking, but heavy"
389,MatrixTech,Looks nice but leaks...,3.0 out of 5 stars,"  Bottle looks realy nice and I like the concept/design, However if its standing up striaght it leaks, even with the top lid lock closed if its turned upside down or laid on it 's side it leak....Not impressed, I have a much cheaper Kor bottle that is a bit smaller and works great and never leaks..."
390,Rodger A. Hongisto,Flashy water bottle,4.0 out of 5 stars,"  Can't say anything bad about it, works as expected, and gets a lot of looks. Lost a star for price, but overall it was worth it."
391,Moussa,Five Stars,5.0 out of 5 stars,  wonderful! it is bigger than i thought
392,Kindle Customer,I love my Kor One!!!,5.0 out of 5 stars,  I get so many compliments on this water bottle!  It is wonderful drinking from it and for whatever reason I want to drink more water.  It truly is a great drinking experience!
393,boguz,"All about design, not function",1.0 out of 5 stars,  This is a horrible product. Very hard to open and close. I have to push the button all the way in with one hand and pull on the cap with the other. The hinge is also squeaky. Good design without core functionality is worthless
394,CTNY,Terrible chemical odor,1.0 out of 5 stars,"  I never feel the need to write a review but I wanted people to know the problem I had with this. I really liked this bottle until I had been using it for a few months at which point it started to emit a terrible chemical smell. I only ever put water in the bottle and when I contacted the manufacturer, they never even bothered to respond. I will never buy this again and hope others don't encounter this same problem."
395,Melissa Lee,Five Stars,5.0 out of 5 stars,  I love this water bottle..
396,Marvin Arbaiza,everyone should get this water bottle!!!!!!,5.0 out of 5 stars,"  One of the best water bottles ever!!!!!!!, I have Tea in it everyday and it holds up very well to 200 degree water this is a must buy"
397,Amazon Customer,Four Stars,4.0 out of 5 stars,"  Great bottle, could do with better packaging to help protect it"
398,H,"Nice looking, but cumbersome",2.0 out of 5 stars,"  Huge water bottle. Even though it holds the same amount of liquid as a regular Camelback, it was significantly larger in stature. Returned."
399,Sharona Kianmahd,Great bottle!,5.0 out of 5 stars,"  Love the bottle.  Wide opening, doesn't leak, doesn't roll around.  Beautiful design."
400,Richard T.,Five Stars,5.0 out of 5 stars,  Fantastic!!!  I have used it constantly since receiving it.
401,dawai692,Five Stars,5.0 out of 5 stars,  works as described!
402,D. Schultz,Ugly Beneath The Beautiflul Looks,2.0 out of 5 stars,"  This water bottle, er, hydration vessel, is possibly the best looking one out there. You will get compliments from people and you'll look pretty cool.Do not buy it.It will not fit in most vehicle cup holders. The shape is more of an oval, not a circle, thus much wider. We have three different vehicles and it will not fit in any of them. It is also very tall in comparison to other mainstream water bottles. A bit clumsy feeling.After having it a few months without any trauma to it, the lid broke in such a way that it would not shut anymore. It happened while my wife was simply carrying it by its handle, and the breaking sloshed water all over her pants as she was walking into work. Sadly, the bottle did not make it out of her work that day... rest in pieces, KOR ONE. Know that you still looked beautiful on your deathbed."
403,hoi ying ng,um...like it but not love it,5.0 out of 5 stars,"  I brother this bottle for school, but it is kinf of too big gor me. Still like it but I will recomment you to buy a 500ml one."
404,Brandon,"Great bottle, easy to break",2.0 out of 5 stars,"  Had mine for 2 months before I dropped it getting out of my car. One of the brackets holding the lid snapped off, and it will not longer seal. This is not covered in the warranty, and I am out $30 now. I really like this bottle, and will buy another one if they fix the durability issues, but for now I will stick to my Nalgene."
405,cmack,Broke in less than a month,1.0 out of 5 stars,  I liked this bottle a lot. Hand washed it everyday. I closed the lid after a drink and the two hooks that keep the lid closed snapped off. I sent it back for a refund.
406,Amazon Customer,I would not recommend it to anyone,2.0 out of 5 stars,  It is extremely heavy and difficult to clean. I would not recommend it to anyone.
407,Alba Stella,Many scratches,1.0 out of 5 stars,"  I had many expectation about my vessel, but when I Was recived it, it has many many scratches, this is ugly, for the money that I Was paid no worth at all!!  I want to return it !!!"
408,FrenzyM72,Looks so elegant but the good thing.,5.0 out of 5 stars,  Looks so elegant but the good thing... It serves  its purpose. The water doesn't taste like plastic at all ( even in warm weather). Love it!
409,Mario Griffin,But Tony Stark Has One!,2.0 out of 5 stars,"  That's why i bought it, good looking vessel but its a really crappy product it wont hold any kind of fall not even from the table to the table the top cap is really weak."
410,Hxt1533,Conversation starter item,4.0 out of 5 stars,  This water bottle is very nice! Its got a very futuristic look and a huge conversation starter piece! Everywhere I go people have that course look on their faces wanting to know more about it! People love it and want it!
411,Fan Xuan,Five Stars,5.0 out of 5 stars,  Nice
412,Amazon Customer,Not for gym,5.0 out of 5 stars,  Really great bottle. Not for gym
413,Jeff Crooks,Five Stars,5.0 out of 5 stars,  thanks
414,Joyce Ma,BROKE IN ONE WEEK.,1.0 out of 5 stars,"  So I bought this about a week ago, it was great to use. I love the shape of the nozzle and it's awesome to drink out of. HOWEVER, it tipped over on the ground today and the cap opened up and spilled everywhere. I cleaned it up and I realized that it was leaking from the hinge that binds the cap and the bottle together.So if you are super careful and are 100% sure that you will not drop your bottle or even knock it over once, then great! It's an awesome bottle with great aesthetics. But if you are looking for a bottle that will last, this is not the bottle for you. For 20 dollars you can probably buy two longer lasting, not as pretty bottles."
415,Te Tan,Pretty,5.0 out of 5 stars,"  Beautifully designed, crafted. This feels great in the hands, looks good on your bag, gives you one extra reason to drink!"
416,Jung K.,Five Stars,5.0 out of 5 stars,  love it!
417,Judy Ice1,Five Stars,5.0 out of 5 stars,"  I love this item and this is my 2nd, very functional ."
418,Aaron Bradford,I loved the way it looked and was really hoping it ...,1.0 out of 5 stars,"  Seriously don't buy this bottle......its all looks with no durability.  I loved the way it looked and was really hoping it would work out.  One fall broke one of the hooks off that holds the cap firmly in place so water does not leak out when the lid is closed. Now i have to keep it completely upright or water will leak all over the place.  I don't care how many design awards this thing has won, if it cant survive minor slips and falls then its simply not worth buying.  So please look elsewhere."
419,Tian Ying,Five Stars,5.0 out of 5 stars,"  The vessel is cool, howwever, the best thing is logistics, it takes only 5 days from US to China."
420,Cutiefrankbird,Wish It Had Been More Durable,3.0 out of 5 stars,"  I loved this bottle for the first two months I had it, using it 2-3 times a week during my classes (I teach) and twice-a-week work outs.  Then, the white plastic handle came away from the body on one side.  I guess I dropped it at some point, but I don't remember the fall being anything out of the ordinary.  I finally cracked the whole handle off on purpose so that I could still use the bottle.  So, I have an expensive water bottle without the handy handle, and it looks pretty ratty."
421,Jason C. Ty,KOR ONE BPA Free Hydration Vessel (Ice Blue),4.0 out of 5 stars,  PROs:- Cool design- Construction was well done- Tony Stark use oneCONs:- not spill proof
422,annie,Sleek,4.0 out of 5 stars,  Very sleek looking. The mouth is wide enough for my oblong ice cubes from my ice maker. Wouldn't recommend for rough and tumble use.
423,Temmy,KOR ONE - Chrome,5.0 out of 5 stars,  This bottle looks visually appealing! The product has a very good finishing.
424,Timothy Inman,Kor One,5.0 out of 5 stars,"  Great water bottle. Nice color, bigger than I thought though. Overall great."
425,liz,It is leaking at the bottom! I just received ...,2.0 out of 5 stars,"  It is leaking at the bottom! I just received it and as soon as I fill it with water, it starts to leak from the rubber ring at the bottom."
426,Moka De Luca,Four Stars,4.0 out of 5 stars,  Good
427,David Bango,Don't believe the hype...,2.0 out of 5 stars,"  After reading some positive reviews on Amazon and other sites and falling victim to the praise being heaped on this water bottle, I took the plunge and spent $30 on the KOR ONE BPA Free Hydration Vessel.  I've had this water bottle for 2 months and I'm not impressed.  The most striking thing when it arrived was the sheer size.  Make no mistake, the bottle is massive and should hold a great deal more water than it's 26 ounce capacity.  I found the bottle to be extremely impractical.  It doesn't fit into a car cup holder and will not fit into the water bottle holder on an elliptical or any other exercise machine.  The construction seems to be pretty fragile overall and the bottle would be very unwieldy for any outdoor activity.  Based on the fact that it's not very portable and cannot be used in the car or at the gym, this bottle has been relegated to being used at home or at the office.  These are places where a glass of water would be sufficient, making this product an expensive mistake with extremely limited use.  Don't believe the hype!  Get a stainless steel water bottle like a Kleen Kanteen and you will be much happier."
428,Andrea Castaneda,Five Stars,5.0 out of 5 stars,  In love with my new water bottle!
429,Chung-Ah,Just Looks Pretty,3.0 out of 5 stars,"  Other than the prettiness of this bottle, there's really nothing special about it. It's bulky and a bit more heavy than my other bottles but it still fits into the side of my backpack. It's also a little too expensive. And I'm not too fond of the little messages in the cap."
430,Jake Schmitz,Amazing quality!!!!!,5.0 out of 5 stars,  This is a great and durable product. It totally meets my expectations. Only down side is that you must have a deep sink to fill it or it won't fit under most sinks.
431,j.Arjona,Great quality and design,5.0 out of 5 stars,"  Good quality, materials and design. Best product in its sector!"
432,JB,Great water bottle,5.0 out of 5 stars,  Great water bottle. I love it. I use a bottle brush to keep it clean and have had no problems.
433,JK,Good bottle,3.0 out of 5 stars,"  I bought this for my wife because her Sigg had an interior that was starting to flake away. Pretty gross actually. This bottle is larger, and despite being plastic, very durable. The only problem I have is the lid, it's a hinge design and while it's held up well so far, I have my doubts to it's overall toughness. If your in the market for a water bottle, steer clear of the Sigg and try the KOR."
434,Dylan Sakaria,Four Stars,4.0 out of 5 stars,  Hard to open
435,Claudio Rezende,Disappointing,2.0 out of 5 stars,"  Bottle looks great, but it does not seal properly and leaks water if not straight up. Also the rubber cover on top of the bottle comes off all the time."
436,Anonymous9324,Frustrated,1.0 out of 5 stars,"  I bought three of these and within a month of purchase one of my KOR ONE Hydration Vessel broke. I am very disappointed because I practically treated my bottles like my babies. It is super heavy (for a bottle), incovenient and the water/liquid inside the bottle does not stay cold at all."
437,Amazon Customer,Good. If u reduce the price,5.0 out of 5 stars,"  Good.  If u reduce the price, the Kor will become profect."
438,Matthew Schmitz,Awesome bottle,5.0 out of 5 stars,"  KOR stones are not real stones. other than that, awesome"
439,hazel,good one I love it,5.0 out of 5 stars,  I bought it for school. A little bigger than I expected but still good. Just a bit heavier than it looks
440,Luvian,Five Stars,5.0 out of 5 stars,  Great! My bf loves it!
441,Ya Ching Huang,excellent,5.0 out of 5 stars,  It's really nice product for people to use
442,Argon,it is what it is,4.0 out of 5 stars,  Sleek and does exactly what it promises. Overpriced though
443,Tamatha,This water bottle is perfect!,5.0 out of 5 stars,"  I really enjoy using this bottle.  What I like the most is that you don't have to unscrew and rescrew a cap, just flip it open!"
444,Tielong Xue,amazing one,5.0 out of 5 stars,"  really good,a little bit expansive but i will buy other one .and its fancy .my friend agree with me.so good"
445,MTM,Fresh & Cold,5.0 out of 5 stars,"  This is a great product, not too heavy, but keeps what ever you put in it fresh and cold.  Easy to carry and nice looking too."
446,Glenn,Too much money,3.0 out of 5 stars,"  I found it to be too narrow and tall due to its oval shape.  It looses it's balance very easily.  It does have a rubberized base, but it's just a thin rubber band oval shape.  Very difficult to open with one hand.  I knocked into a table it was on, the ""hydration vessel"" went flying on it's head, the lid broke and never closed again.Who should buy this?  If you must only be seen carrying Coach handbags or wear ridiculously overpriced designer clothes then this is the water bottle for you!"
447,Giachetta,KOR ONE BPA-Free Water Bottle (Cobalt Blue),5.0 out of 5 stars,"  I had one before and gave it to my Mom.  I decided after a day without it that I had to have it back!  Rather than take it from my Mom's grip, I decided to order one for me!"
448,koldinebar,Four Stars,4.0 out of 5 stars,  Good botttle. Great ergonomics.
449,maguzman,Breaks fast.,2.0 out of 5 stars,  It broke within a couple weeks.
450,Leehang Soun,Five Stars,5.0 out of 5 stars,  Pretty good water bottle and very durable.
451,Amazon Customer,Five Stars,5.0 out of 5 stars,  This water bottle is too big to fit in a normal cupholder. Also holds a lot of water
452,VF,Love this item,5.0 out of 5 stars,"  Love this item.  Not only do you get to drink water in style but you also get to contribute to some great causes w/ the purchase of each KOR Hydration Vessel. I love the design, color, ease of use. Get compliments on it everywhere I go."
453,Leonardo,One in less than a month of use it started to leak from the bottom and it became useless!,2.0 out of 5 stars,  I bought 2! One in less than a month of use it started to leak from the bottom and it became useless!
454,didi,its good,4.0 out of 5 stars,  The bottle is unique. I take it to work everyday.  Sometimes it leaks though. I bought it thinking that it was made out of glass. But it isn't. (I'm looking for a glass water bottle).Its real easy to clean and it looks cool.
455,Lu dan ting,Five Stars,5.0 out of 5 stars,  it's very good.
456,Francis,LOVE it,5.0 out of 5 stars,  Love it! Everybody who sees loves it as well!
457,Brian Gould,Four Stars,4.0 out of 5 stars,  Good water bottle
458,liu cai li,"he is very like, I would recommend to my colleagues",5.0 out of 5 stars,"  This dress is to buy his son, he is very like, I would recommend to my colleagues."
459,ZDWOD J H,"GOOD LOOKING, BUT IT'S BIGGER THAN I THOUGHT",5.0 out of 5 stars,"  GOOD LOOKING,BUT IT'S BIGGER THAN I THOUGHT."
460,Benjamin Davis,Five Stars,5.0 out of 5 stars,  It's perfect! Been using for 2 months now and still fantastic.
461,Will,Worth it,5.0 out of 5 stars,  Straight out of the movie and very durable on top of that. Money well spent just to pretend im tony stark haha.
462,qinming,Four Stars,4.0 out of 5 stars,"  On the way, the bottle is blown out."
463,Amazon Customer,Five Stars,5.0 out of 5 stars,"  Beautiful design, and looks very classy"
464,sharon,KOR Hydration vessel,3.0 out of 5 stars,"  It is a good bottle - sturdy, wide mouth for ice. Cons: odd shape-doesn't fit into car cup holders; sweats; expensive; the ""stones"" for personal messages are just cheap paper - could easily make them more durable.It has helped us stop buying expensive bottled water."
465,Cail Redden,Five Stars,5.0 out of 5 stars,  I like it!
466,king tang,Four Stars,4.0 out of 5 stars,  i saw some scratches but i sill love it
467,Kiet Nguyen,Five Stars,5.0 out of 5 stars,  Love it!!
468,Susan Mitchell,Worth the money.,5.0 out of 5 stars,"  $30 might seem high for a water bottle but these are wonderful. The shape, design, quality, look.. fantastic. I definitely recommend Kor."
469,Alexis Friesen,Good but a little large,4.0 out of 5 stars,"  Good quality water bottle, the size makes it a little cumbersome to carry around but it does hold 750 ml"
470,moemen elbeltagi,Four Stars,4.0 out of 5 stars,  Great bottle. Can hold water
471,Chirag Chandna,Five Stars,5.0 out of 5 stars,  Amazing bottle
472,Fang-Ju L.,Five Stars,5.0 out of 5 stars,  good！
473,douzhenyu,Five Stars,5.0 out of 5 stars,  not bad
474,Amazon Customer,Two Stars,2.0 out of 5 stars,  Not having a good quality.
475,Luis Fernando Chew Lorenzana,Five Stars,5.0 out of 5 stars,"  Excellent product, good quality build"
476,Carol A. Lindeman,Great bottle,5.0 out of 5 stars,  Great water bottle. Very ergonomic to hold. I wished it fit in the cup holder. I like the color too.
477,Amazon Customer,Four Stars,4.0 out of 5 stars,  Quality and design are good
478,TINGTING LUO,so cool,5.0 out of 5 stars,"  The color is very cool,same to the picture showed.It's beautiful and with high quality.I  recommend this product,it is worth buying!"
479,lc,Kor one hydration vessel,5.0 out of 5 stars,"  Best water bottle ever. Love the futuristic design, I get compliments all the time! Very good for going green, saving money on all those plastic water bottles!"
480,DUKAIFU,Five Stars,5.0 out of 5 stars,  ok
481,Amanda Fan,DISAPPOINTED,1.0 out of 5 stars,"  I bought two kor one and got them 4 days earlier than expected. The pink one for me and the ice blue one for my husband. I thrilled when got them, because they looked so cool! But when I filled them with water and shook, it's disappointing ! The pink one leaks from the bottom, and the ice blue one leaks from the cap connection part!!! It's obviously not a good gift to celebrate our 6 year's anniversary."
482,fay umbarger,Even better looking than pictured,3.0 out of 5 stars,"  This water bottle is great. Easy to drink from, easy to carry. Water doesn't stay cold for a long time, but it doesn't get hot either unless you leave it in the sun. I get a lot of compliments on the look of the bottle. I have the blue tinted one."
483,Lavonde,KOR - Love it!,5.0 out of 5 stars,  I absolutely love my KOR bottle!  I use it every single day. It holds a lot and is so durable and easy to carry.
484,Ronnie Leonard,Save your money,1.0 out of 5 stars,"  The lid design is TERRIBLE, the latches are no where near tight enough.  I could practically open the lid without pushing the unlock button.  Not only that but every time it gets knocked over (which is likely because it is so tall) all the water will spill out.  The design is strong in all the wrong places but overall looks cool at least.  The worst part is that I can't exchange it because the plastic covering the hinge broke last night after a knock over."
485,Weaver Jones,Cracked and leaky,1.0 out of 5 stars,"  Three weeks after I received my Kor One bottle I accidentaly droped it and the hinge cracked and the top would not seal, so the bottle leaked. I was very happy with the bottle when I first received it, I thought it looked really cool and it functioned very well. But hey thirty dollars is a lot for a water bottle, it should have been a lot sturdier. I went back to my old Nalgene bottle that I have dropped countless times and not a scratch! Dont buy the Kor One, it needs to be built a lot better. The Nalgene is better made and it also is BPA free."
486,Adrian,Looks great. Very fragile.,2.0 out of 5 stars,"  The bottle looks amazing. It actually looks better in real life than the pictures. Unfortunately those looks come with a price. The handle is not a solid piece with the top, it is held by a little bits of plastic that broke after its first fall from 4 feet. Didn't last a week and that ""lifetime"" warranty is only good for manufacturer's defects."
487,JEREMY,Started off Great..Ending too soon,1.0 out of 5 stars,"  This product was great in the beginning. Great look, easy to work with, and aesthetically pleasing. Not even a month of having it a plastic screw broke off from it and it seems to be falling apart at the bottles top. I really liked this again from the start...now not so much."
488,Bladerunner,"Nice design, Poor construction/sturdiness.",1.0 out of 5 stars,"  A little over one month ago I purchased the Kor one water bottle from Amazon. I paid thirty dollars, a little high but it looks good and BPA free. Last week walking to work bottle fell out of my backpack at about 3 feet off the ground. It hit the pavement and the white piece broke off the bottom and the lid is wobbly and doesn't seal anymore, the bottle leaks when on it's side now. There are no scratches on the bottle, all damage was caused by impact. Seriously, thirty dollars for a water bottle that breaks the first time it's dropped is not worth it. Nice design but not utilitarian."
489,AMMON,i CAN NOT RETURN IT DUE TO AMAZON POLICY TOTAL WASTE OF MONEY,1.0 out of 5 stars,  IT IS NOT DESIGNED WELL.DOES NOT CLEAN WELL.i CAN NOT RETURN IT DUE TO AMAZON POLICY TOTAL WASTE OF MONEY.
490,b,Just Don't Drop It,1.0 out of 5 stars,"  Yeah it looks cool. And it is easy to use to drink large quantities. And Stark used it in Ironman II. But the product is simply not well designed. Sure it looks beautiful and the plastics are nice and durable, but the hinge connecting the lid to the base is to easy to break. It's only as strong as its weakest link.I bought one, dropped it and it broke. I thought it was a fluke. I bought another. Within a week it broke too. Then my wife's broke. $90 worth of water bottles in 3 weeks??? C'mon... My bad."
491,waaasabe,but it would be much better if it was not made in China,3.0 out of 5 stars,"  I thought it was a glass bottle, but I was wrong. It's ok, but it would be much better if it was not made in China! I noticed the flip lid was strong when I got it and is now gradually getting looser as I use it. Would also be better if it was a 32 OZ bottle too."
492,D. Sudlow,High hopes dashed after only five weeks...,1.0 out of 5 stars,"  I dropped this empty bottle from chest height onto a carpeted floor and part of the hinge broke off, rendering it useless.  I can't believe I shelled out so much for a water bottle that only lasted five weeks!  For this price point, I was expecting a well-made sturdy bottle that would last longer than your average water bottle."
493,JT,Kor One,2.0 out of 5 stars,  This bottle worked great and didn't leak for about 6 months. I dropped it 1 time in the kitchen and the whole container cracked down the side. I would not buy this product again.
494,klatoo,One Star,1.0 out of 5 stars,  molded within a few days...thats nasty
495,Luke Wayne Howell,nice bottle but no durability.,3.0 out of 5 stars,"  the bottle was nice while it lasted but I dropped it one time and it broke in half, the bottle is nice but not for me. I bought a swell bottle and they are the durable type of bottle I need."
496,Just the facts,Nice looking but..,1.0 out of 5 stars,  Not very practical
497,Wei,It doesn't survive long,3.0 out of 5 stars,"  Very good looking but hard to fill in ice bricks.  It was dropped off on the floor once by accident, it broke badly.  Quite expensive but my daughter love the design."
498,Zero,Color not as advertised,4.0 out of 5 stars,  Cobalt Blue? Try purple.Only reason why I kept it was because its too much of a hassle to return it and get another.Aside from that the product itself is great.
